fix,contains_bug,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp
TRUE,TRUE,1,2,2,0.970950594,19,1,407,86,2.729178241,177,350.5,1.274807995,345
FALSE,FALSE,1,1,1,0,0,1,96,324,2.089988426,11,1122,1.478471549,3
FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,1,0,475,63,0.730138889,47,343,2.369602435,327
FALSE,FALSE,1,1,1,0,1,1,245,58,97.91855324,10,313,1.010212569,291
FALSE,TRUE,1,2,2,0.998845536,20,5,6679.5,279,-14.1012963,1267,0.5,0.482271133,1
FALSE,TRUE,1,1,2,0.095970403,63,18,217.5,60,12.66355324,104,235.5,1.045906086,7
FALSE,FALSE,1,1,1,0,2,2,98,304,102.058831,2,592,1.00979827,60
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,2,4,12,2.844348775,18,197,307.25,305,170.7127199,46,835.5,1.001047108,504
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,1,2,2,0.985228136,3,4,656.5,70,1.601296296,251,674.5,1.722035192,475
TRUE,FALSE,1,1,1,0,11,0,600,186,49.3334838,69,9,1.020270208,8
FALSE,FALSE,1,2,2,0.297472249,13,6,6637,254,5.949195602,563,2509.5,1.089301431,2200
FALSE,TRUE,3,7,9,2.842027736,34,30,371,292,47.79722222,445,277,1.005526782,207
FALSE,TRUE,2,7,7,2.033939331,89,6,74.85714286,254,29.85166501,30,65,0.865693286,54
FALSE,TRUE,2,3,4,1.969845258,16,6,147,41,1.586403356,146,120.5,1.451742922,111
FALSE,FALSE,1,2,2,0.99107606,1,8,9232,328,-55.20048032,1919,9.5,0.987432446,10
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,2,2,2147,263,110.5846644,686,556,1.009042845,536
FALSE,FALSE,1,1,1,0,1,1,92,65,0.00087963,3,546,1137.842105,503
FALSE,FALSE,1,2,2,1,144,144,63,2,2.492523148,1,5.5,0.600299971,5
FALSE,FALSE,2,4,6,0.418320156,145,0,97.83333333,121,12.90108796,71,643.5,1.024590557,8
FALSE,TRUE,1,2,12,2.870416073,417,16,371.6666667,275,60.52707369,275,23.5,1.006905144,29
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,1,1,1,0,1,0,0,10,55.19712963,1,57,1.018116884,41
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
